Start,Open
2023-05-23,1.1424254500834E+15
2023-05-24,1.152296256192E+15
2023-05-25,1.1243116461557E+15
2023-05-26,1.0826897879683E+15
2023-05-27,7.6151975567022E+14
2023-05-28,1.0736432969288E+15
2023-05-29,1.0288306082806E+15
2023-05-30,1.0628535422586E+15
2023-05-31,1.0143689931921E+15
2023-06-01,1.0001087355122E+15
2023-06-02,1.1636747220059E+15
2023-06-03,1.0928090210309E+15
2023-06-04,1.0993902338877E+15
2023-06-05,1.1093088335778E+15
2023-06-06,1.108162136699E+15
2023-06-07,1.0992044474911E+15
2023-06-08,1.1349925877433E+15
2023-06-09,1.0940250139584E+15
2023-06-10,1.0804051896655E+15
2023-06-11,1.1328266617655E+15
2023-06-12,1.1067661393978E+15
2023-06-13,1.1363256535331E+15
2023-06-14,1.1563735978499E+15
2023-06-15,1.1531595444683E+15
2023-06-16,1.1531499703002E+15
2023-06-17,1.204164390901E+15
2023-06-18,1.1555959770725E+15
2023-06-19,1.1530269282332E+15
2023-06-20,1.1281771125903E+15
2023-06-21,1.1852416806783E+15
2023-06-22,1.1795715602784E+15
2023-06-23,1.149026509001E+15
2023-06-24,1.1750985285E+15
2023-06-25,1.2039571633345E+15
2023-06-26,1.2121510502923E+15
2023-06-27,1.2009168373138E+15
2023-06-28,1.2358565598839E+15
2023-06-29,1.2681280179674E+15
2023-06-30,1.263569257654E+15
2023-07-01,1.2668831909074E+15
2023-07-02,1.2867553729384E+15
2023-07-03,1.3594367369552E+15
2023-07-04,1.3208117885803E+15
2023-07-05,1.4519995035085E+15
2023-07-06,1.471464934072E+15
2023-07-07,1.4160024160124E+15
2023-07-08,1.4594383414235E+15
2023-07-09,1.4760901819478E+15
2023-07-10,1.5576041521896E+15
2023-07-11,1.5123891360978E+15
2023-07-12,1.7085619686948E+15
2023-07-13,1.8515287393591E+15
2023-07-14,1.9132931245166E+15
2023-07-15,1.9141811326996E+15
2023-07-16,1.8233951591049E+15
2023-07-17,2.0179952007338E+15
2023-07-18,1.9772411314522E+15
2023-07-19,2.1589496990943E+15
2023-07-20,2.2134274888846E+15
2023-07-21,2.5136597473166E+15
2023-07-22,2.4923573661804E+15
2023-07-23,2.4113946486286E+15
2023-07-24,2.5133801339724E+15
2023-07-25,2.3747342546759E+15
2023-07-26,2.5752720719698E+15
2023-07-27,2.7246872461059E+15
2023-07-28,2.7751675165066E+15
2023-07-29,2.9178603847453E+15
2023-07-30,3.1006834770373E+15
2023-07-31,3.2573208759561E+15
2023-08-01,3.5139518147407E+15
2023-08-02,3.5209813585097E+15
2023-08-03,3.5448722103517E+15
2023-08-04,3.8889538405147E+15
2023-08-05,4.1401518182617E+15
2023-08-06,4.2509147406047E+15
2023-08-07,4.600559032711E+15
2023-08-08,5.0087657750116E+15
2023-08-09,4.7365847013195E+15
2023-08-10,5.7318371750864E+15
2023-08-11,6.8740111404959E+15
2023-08-12,7.9011471597726E+15
2023-08-13,7.7898784499663E+15
2023-08-14,8.8685082891074E+15
2023-08-15,9.0668981415661E+15
2023-08-16,9.6538653434669E+15
2023-08-17,1.0897334277792E+16
2023-08-18,1.1953783673991E+16
2023-08-19,1.1516555358146E+16
2023-08-20,1.2371095109702E+16
2023-08-21,1.2883189400747E+16
2023-08-22,1.3955595559063E+16
2023-08-23,1.4288031494872E+16
2023-08-24,1.466619384529E+16
2023-08-25,1.5356405827642E+16
2023-08-26,1.4307511809401E+16
2023-08-27,1.4959402501554E+16
2023-08-28,1.5553919611063E+16
2023-08-29,1.5751324787529E+16
2023-08-30,1.5592849348772E+16
2023-08-31,1.7193174223044E+16
2023-09-01,1.6920146421715E+16
2023-09-02,1.7397194316518E+16
2023-09-03,1.6841578577634E+16
2023-09-04,1.7235217307414E+16
2023-09-05,1.6996146863451E+16
2023-09-06,1.7457005010076E+16
2023-09-07,1.9066958017659E+16
2023-09-08,1.9055955422964E+16
2023-09-09,1.9120768448551E+16
2023-09-10,1.9166322727746E+16
2023-09-11,2.0035020599213E+16
2023-09-12,1.9221635101824E+16
2023-09-13,1.9904632429106E+16
2023-09-14,2.1167570297662E+16
2023-09-15,2.0441682612128E+16
2023-09-16,2.1466926199089E+16
2023-09-17,2.1789439218894E+16
2023-09-18,2.2258909491148E+16
2023-09-19,2.2914304414565E+16
2023-09-20,2.3104105959507E+16
2023-09-21,2.3601205601941E+16
2023-09-22,2.3628484635315E+16
2023-09-23,2.4103669048345E+16
2023-09-24,2.4882337514954E+16
2023-09-25,2.4873687393143E+16
2023-09-26,2.4576850826857E+16
2023-09-27,2.6370189501028E+16
2023-09-28,3.0045392469878E+16
2023-09-29,3.1062208852872E+16
2023-09-30,3.2127074490949E+16
2023-10-01,2.9655761068568E+16
2023-10-02,3.1767018884629E+16
2023-10-03,3.7430995761538E+16
2023-10-04,4.1131027734935E+16
2023-10-05,4.1718593081573E+16
2023-10-06,4.1357246046045E+16
2023-10-07,4.3230202728731E+16
2023-10-08,4.6806831520538E+16
2023-10-09,4.604106998621E+16
2023-10-10,4.8372764873806E+16
2023-10-11,4.7228611686158E+16
2023-10-12,4.8251669854044E+16
2023-10-13,4.6979122606429E+16
2023-10-14,4.7837658160114E+16
2023-10-15,4.9979302802303E+16
2023-10-16,4.9455877104002E+16
2023-10-17,4.925367319874E+16
2023-10-18,5.0170458701467E+16
2023-10-19,5.0435159565482E+16
2023-10-20,5.1395207170889E+16
2023-10-21,5.193843474308E+16
2023-10-22,5.0503662145744E+16
2023-10-23,5.2650705480768E+16
2023-10-24,5.2225638129147E+16
2023-10-25,5.1546117093378E+16
2023-10-26,5.3812254860414E+16
2023-10-27,5.248101738451E+16
2023-10-28,5.3476484330347E+16
2023-10-29,5.2760118711531E+16
2023-10-30,5.1919019573147E+16
2023-10-31,5.1184635001903E+16
2023-11-01,5.3378559764837E+16
2023-11-02,5.254583760182E+16
2023-11-03,5.3448037138248E+16
2023-11-04,5.3719208086678E+16
2023-11-05,5.0835300722066E+16
2023-11-06,5.1944719230839E+16
2023-11-07,5.1936149851808E+16
2023-11-08,5.4162206098037E+16
2023-11-09,5.4987766803009E+16
2023-11-10,5.4151647557773E+16
2023-11-11,5.6809556995797E+16
2023-11-12,5.6186353174719E+16
2023-11-13,5.7062175106343E+16
2023-11-14,6.0582624637907E+16
2023-11-15,6.0011366441423E+16
2023-11-16,5.9517467517936E+16
2023-11-17,6.386225472007E+16
2023-11-18,6.4578385302914E+16
2023-11-19,6.3085891727682E+16
2023-11-20,6.3687414701349E+16
2023-11-21,6.6443809450636E+16
2023-11-22,6.8587158142592E+16
2023-11-23,5.9342453539033E+16
2023-11-24,6.4383803142306E+16
2023-11-25,6.9373072604716E+16
2023-11-26,7.2225110889308E+16
2023-11-27,7.1535825144678E+16
2023-11-28,7.7332259482119E+16
2023-11-29,7.6286621196013E+16
2023-11-30,7.9722700227498E+16
2023-12-01,7.850080499494E+16
2023-12-02,8.3608548454801E+16
2023-12-03,8.488602443378E+16
2023-12-04,8.9683684840483E+16
2023-12-05,9.2628517001934E+16
2023-12-06,9.3121697960514E+16
2023-12-07,9.8514538964757E+16
2023-12-08,1.0375932556854E+17
2023-12-09,1.0187897879866E+17
2023-12-10,1.0445474187165E+17
2023-12-11,1.0181966892938E+17
2023-12-12,1.1049404336365E+17
2023-12-13,1.0790362913069E+17
2023-12-14,1.1132760680078E+17
2023-12-15,1.099460879904E+17
2023-12-16,1.1282779245175E+17
2023-12-17,1.1613817725279E+17
2023-12-18,1.1649343625023E+17
2023-12-19,1.1804260530623E+17
2023-12-20,1.2063595415189E+17
2023-12-21,1.208922847083E+17
2023-12-22,1.2381150009899E+17
2023-12-23,1.3059803714914E+17
2023-12-24,1.2557623787463E+17
2023-12-25,1.2789227671096E+17
2023-12-26,1.272238381722E+17
2023-12-27,1.2462181472239E+17
2023-12-28,1.2753306755092E+17
2023-12-29,1.3369272479689E+17
2023-12-30,1.3493426365905E+17
2023-12-31,1.3524729136429E+17
2024-01-01,1.3387844598632E+17
2024-01-02,1.3046814270688E+17
2024-01-03,1.3523567184844E+17
2024-01-04,1.4315622594585E+17
2024-01-05,1.3403043809144E+17
2024-01-06,1.3621872170293E+17
2024-01-07,1.3210323734231E+17
2024-01-08,1.359990330696E+17
2024-01-09,1.42212082915E+17
2024-01-10,1.3740781637256E+17
2024-01-11,1.4438783619868E+17
2024-01-12,1.3678294592966E+17
2024-01-13,1.4802861626727E+17
2024-01-14,1.4147925056251E+17
2024-01-15,1.4336048649896E+17
2024-01-16,1.4150892767E+17
2024-01-17,1.4276239268624E+17
2024-01-18,1.4269337116322E+17
2024-01-19,1.4511724942135E+17
2024-01-20,1.5183783994319E+17
2024-01-21,1.4740383819141E+17
2024-01-22,1.4808918136919E+17
2024-01-23,1.4820143023138E+17
2024-01-24,1.4673724020973E+17
2024-01-25,1.4686138076682E+17
2024-01-26,1.6385623419365E+17
2024-01-27,1.5382683076169E+17
2024-01-28,1.5589310418307E+17
2024-01-29,1.6652247473156E+17
2024-01-30,1.739352480919E+17
2024-01-31,1.6118805805915E+17
2024-02-01,1.6144617886383E+17
2024-02-02,1.6565857588903E+17
2024-02-03,1.6353815085062E+17
2024-02-04,1.6362084438487E+17
2024-02-05,1.7050312188065E+17
2024-02-06,1.6437570556717E+17
2024-02-07,1.7845055158886E+17
2024-02-08,1.7479289978055E+17
2024-02-09,1.7248426518649E+17
2024-02-10,1.6421097074057E+17
2024-02-11,1.7022596769691E+17
2024-02-12,1.6352843940531E+17
2024-02-13,1.7630559599074E+17
2024-02-14,1.749926064476E+17
2024-02-15,1.668294893882E+17
2024-02-16,1.7405116817879E+17
2024-02-17,1.6874826969108E+17
2024-02-18,1.7058641532389E+17
2024-02-19,1.7472612910353E+17
2024-02-20,1.6931781720854E+17
